"VS. RIF. CANTINA DAISY"
"RIDUZIONE ZINC. D.200/180 mm.";"N.";"2    "
MA;"NICOTTI MM D.100 mm.";"N.";"9    "
"CURVA 90° D.200 mm.";"N.";"13    "
"TUBO SPIRO D.250 mm.";M;"72    "
"TUBO SPIRO D.160 mm.";M;"78    "
"COLLARE 2 PZ D.160 mm.";"N.";"8    "
"COLLARE 2 PZ D.200 mm.";"N.";"8    "
"RIDUZIONE ZINC. D.150/100 mm.";"N.";"1    "
"RIDUZIONE ZINC. D.315/250 mm.";"N.";"4    "
"TUBO SPIRO D.200 mm.";M;"102    "
"TUBO SPIRO D.100 mm.";M;"27    "
"TEE D.200/200/200 mm.";"N.";"2    "
"RIDUZIONE ZINC. D.200/100 mm.";"N.";"3    "
"RIDUZIONE ZINC. D.160/100";"N.";"1    "
"CURVA 90° D.160 mm.";"N.";"14    "
"CURVA 90° D.250 mm.";"N.";"18    "
"CURVA 90° D.100 mm.";"N.";"1    "
"CURVA 45° D.250 mm.";"N.";"5    "
"CURVA 45° D.200 mm.";"N.";"7    "
"CURVA 45° D.160 mm.";"N.";"6    "
MA;"N. SELLA D.200/160 mm.";"N.";"1    "
MA;"N. SELLA D.160/100 mm.";"N.";"1    "
"RIDUZIONE ZINC. D.250/200 mm.";"N.";"1    "
"FONDELLO MASCHIO D.200 mm.";"N.";"2    "
